Session ID,First Token Time (ms),Other Token Times (ms),Total Time (ms)
197fcab6-4be2-4e0c-9630-979980155c61,7540.20,19.23;1562.57;3352.23;1527.67;3182.04;3348.32;4681.76;8392.25;3275.74;3458.21;4491.76;10.32;6071.22;10.65;3205.13;12.35;6388.42;5977.55;3863.24;1609.20;12372.60;3959.85;3261.31;6241.56;4334.00;3073.81;3351.32;3340.85;1549.70;13.38;26.61;61.56;95.35;133.67;37.83;75.71;86.02;337.50;30.64;79.65;400.47;675.44;6.44;11.85;149.36;49.78;814.53;69.82;177.25;125.11;141.11;210.17;191.94;308.11;146.93;285.97;15.32;336.47;21.17;149.30;114.70;296.00;6.24;857.09;305.98;12.88;155.88;301.55;175.72;17.67;295.90;19.98;120.45;295.08;9.93,121985.10
97e953f6-a184-4176-b6fc-424b81f2e723,3170.39,3266.79;3183.94;3348.42;4681.64;8394.44;3274.61;3457.72;4489.91;11.58;6066.26;14.99;3198.67;19.42;6387.58;1710.86;4302.97;5433.96;12374.12;3960.67;3261.51;6241.08;4334.36;3073.87;3351.28;3340.87;1549.64;13.64;26.35;61.61;95.41;132.76;38.52;76.48;85.29;337.72;30.55;79.57;400.63;669.01;13.04;9.95;151.02;49.55;814.66;69.71;178.08;124.36;140.98;210.03;192.97;307.72;146.45;283.77;17.73;331.87;25.81;149.32;114.59;296.70;5.56;857.15;301.41;17.16;156.14;302.42;176.87;15.83;294.41;21.44;120.48;290.82;14.21;271.82;59.09;233.36;56.46;189.33;159.01;261.20;18.60;302.53;18.34;301.45;27.02;266.33;19.79;302.87;43.33;283.66;17.35;125.13;198.79;104.24;327.33;19.12;421.19;27.32;145.99;289.39;15.62;294.26;7.00;197.50;319.36;91.60;26.58;181.14;122.55;4990.74,124903.65
c8354da3-7008-44a3-90a6-5f16c6e1c7f6,13076.03,1595.11;3278.45;3531.85;2821.51;4325.73;1763.41;1569.08;1644.42;2552.12;5552.52;4300.20;5434.16;12375.50;3959.78;3261.56;6241.59;4333.86;3073.88;3351.10;3341.01;1549.76;13.22;26.82;61.49;95.28;133.57;37.81;75.94;85.91;337.59;30.63;79.63;400.47;675.45;6.48;9.71;151.30;49.80;814.45;69.84;177.36;125.00;141.14;210.46;192.28;307.47;146.82;179.96;121.32;336.94;20.92;144.88;119.00;181.80;120.64;856.98;115.76;203.76;155.01;176.41;304.49;14.26;297.88;17.93;120.43;186.57;118.43;271.44;59.20;233.26;56.41;190.94;157.94;162.90;117.90;191.25;128.82;172.92;155.41;154.52;131.95;313.76;31.99;101.82;198.67;125.59;200.17;102.85;146.67;199.39;117.82;331.21;148.27;184.61;118.18;294.96;6.16;197.19;101.06;317.19;19.23;181.61;122.57;4978.64;28.61;8.18;200.51,112332.54
8578cd6e-72c4-46db-977a-1e50b1b68097,5830.42,1731.44;2.24;1561.25;3352.40;1527.72;3181.45;3349.13;4680.83;8392.19;3274.34;3458.90;4491.95;12.08;6069.53;10.66;3197.53;20.00;6388.40;5977.56;3863.06;1609.44;12372.59;3959.87;3261.32;6241.53;4334.02;3073.80;3351.36;3340.81;1549.72;13.39;26.54;61.63;95.38;133.64;37.86;75.70;86.01;337.50;30.64;79.66;400.47;675.38;6.52;12.25;148.96;49.77;814.54;69.83;177.18;125.17;141.11;210.11;191.94;308.18;146.94;285.41;15.88;336.02;21.62;149.25;114.75;295.95;6.20;857.17;304.94;13.85;155.96;300.84;176.26;17.82;295.49;20.41;120.44;290.20;14.83;270.45;213.81;79.56;58.15;189.26;157.97;262.35;17.56;303.28;17.46;300.69;27.83;267.01;19.27;313.01;32.36;295.71;5.42;125.56;288.72;14.30;328.72;17.29;423.60;25.48;332.47;103.23;15.33;294.98;6.19;196.98;321.28;90.74;24.59;285.71;19.42;4990.69;24.63;2.96;199.58;302.16,133183.15
e6a0daed-eac5-4a7c-a406-791077d190f3,6808.81,2821.74;4325.73;1752.39;13.03;3202.22;12.54;6389.00;5977.13;3863.05;1608.88;12373.21;3959.58;3261.57;6241.62;4333.92;3073.86;3351.05;3341.54;1549.44;14.71;25.15;61.57;95.19;133.55;37.77;76.05;85.85;337.63;30.62;79.64;400.43;675.41;6.48;11.53;149.47;49.83;814.46;69.77;177.41;125.20;140.93;210.48;192.29;307.55;146.79;289.11;12.07;337.38;20.51;148.99;114.92;295.90;6.49;857.02;307.80;11.70;154.97;303.77;177.86;13.60;304.93;10.86;120.46;294.80;10.17;271.45;291.10;0.03;59.17;189.49;157.94;262.57;18.57;302.66;17.24;300.84;27.42;272.34;14.24;314.95;30.65;294.91;6.25;124.85;288.97;14.04;329.76;17.31;423.51;24.54;333.07;103.70;14.28;294.97;6.16;197.22;322.20;96.45;18.82;286.02;18.16;4990.48;24.93;2.64;200.87;301.53;206.08;16.40;294.09,98319.81
9cec6a57-8ad2-46f2-9070-93e1d0d1eca0,4863.80,3209.24;7521.99;5607.32;3277.74;3534.11;2818.01;4327.81;1763.54;1569.06;1641.78;2554.89;5551.84;4265.50;5469.52;8589.19;6287.91;2953.39;5208.98;5617.57;3036.57;3330.92;3249.10;3206.06;21.68;26.67;61.51;95.32;133.63;31.03;82.62;85.96;337.53;30.64;79.63;400.45;675.53;6.27;6.36;154.87;49.78;805.54;78.86;177.27;125.05;141.10;210.35;184.48;309.80;152.48;178.74;109.77;194.40;176.09;145.96;118.01;183.15;119.24;856.95;115.81;190.87;156.11;188.01;126.99;191.91;121.63;194.21;110.64;196.43;104.11;195.73;149.22;231.87;59.44;189.22;157.98;162.85;117.56;191.67;111.36;190.36;127.84;183.26;130.56;202.94;142.56;102.05;193.53;113.55;217.57;88.53;160.72;199.62;117.74;331.33;148.04;184.64;118.37;180.93;120.22;180.84;117.24;220.65;115.88;181.45;103.81;4997.24;12.30;24.82;202.34;187.06;115.32;222.38;103.79;217.51;106.08;188.47,119994.73
dd280dee-ea5f-4aa9-bfd9-9296354bc691,8884.45,3531.44;2821.80;4325.70;1752.35;13.06;3202.16;12.59;6388.98;5977.17;3862.93;1609.02;12373.18;3959.57;3261.57;6241.61;4333.89;3073.86;3351.10;3341.30;1549.64;14.32;25.55;61.52;95.25;133.59;37.79;75.99;85.85;337.62;30.63;79.62;400.46;675.42;6.49;11.14;149.87;49.82;814.46;69.81;177.37;125.19;140.94;210.47;192.29;307.46;146.90;288.94;12.26;337.19;20.68;149.01;114.85;295.95;6.49;857.00;307.63;11.87;155.01;303.71;177.62;13.85;304.72;11.07;120.45;294.75;10.23;271.44;291.12;0.03;59.20;189.45;157.94;262.53;18.54;302.68;17.20;300.89;27.43;272.22;14.37;314.76;30.87;294.95;6.24;124.82;288.93;14.09;329.64;17.46;423.30;24.71;333.03;103.58;14.44;294.97;6.16;197.20;322.03;96.46;18.98;285.91;18.27;4990.45;24.96;4.65;198.89;301.42;205.04;17.41;294.00;27.58;293.82;4.60,104397.80
ad8b618d-428b-4d21-8f7d-98d0a2dab44a,8819.44,1752.64;12.70;3196.10;18.69;6389.07;5977.01;3863.16;1608.77;12373.26;3959.60;3261.53;6241.63;4334.00;3073.79;3351.02;3341.59;1549.43;14.65;25.20;61.62;95.12;133.56;37.79;76.01;85.85;337.64;30.62;79.66;400.41;675.39;6.53;11.44;149.50;49.85;814.45;69.76;177.44;125.18;140.91;210.48;192.30;307.55;146.79;289.31;11.97;337.43;20.36;148.98;115.00;295.83;6.49;857.03;307.97;11.51;154.97;303.77;178.34;13.12;305.15;10.63;120.56;291.67;13.20;271.45;291.10;0.03;57.70;190.97;157.94;262.61;18.53;302.83;17.07;301.07;27.19;272.74;13.95;315.02;30.46;294.91;5.41;125.69;289.02;13.98;330.05;15.97;424.74;24.36;333.12;109.41;8.53;294.98;6.15;197.23;322.37;96.50;18.58;286.13;18.05;4990.50;24.96;2.06;201.41;301.61;206.25;16.22;294.25;27.80;104.79;192.96;172.78;320.66;24.26,94295.26
82a4d6c6-d145-4584-8a4d-8faf420582a0,9732.47,1.77;12371.79;3959.70;3261.50;6241.15;4334.35;3073.79;3351.41;3340.78;1549.71;15.70;24.20;61.66;95.35;133.48;38.04;75.62;86.02;337.57;30.61;79.61;400.58;675.10;6.82;12.23;148.88;49.64;814.75;69.76;177.15;125.14;141.28;209.61;194.40;306.18;146.84;284.57;16.82;331.33;26.20;149.37;114.61;297.23;4.93;857.16;302.08;16.61;156.18;304.72;180.11;10.05;295.14;20.74;120.48;294.25;10.78;270.42;213.32;81.07;57.85;188.51;157.99;261.51;18.35;302.63;18.15;300.58;27.92;266.68;19.53;312.75;34.93;281.36;18.60;124.58;286.17;16.84;327.90;19.24;421.40;26.51;334.77;100.83;15.38;295.06;6.19;198.40;318.92;91.25;27.32;281.96;20.87;4990.58;24.59;5.79;196.47;304.80;197.76;22.24;292.80;28.25;295.01;4.65;172.29;317.96;26.17;289.62;15.47;219.41;120.45;410.93,73339.88
9663d172-37fa-4195-a7ff-37e0baf4ab46,6531.34,4680.63;8394.33;3276.18;1596.34;3532.91;2820.44;4326.55;1763.53;3197.92;19.09;6388.86;1711.82;4265.42;5469.44;12374.27;3961.05;3261.44;6241.58;4333.94;3073.87;3351.17;3340.95;1549.74;13.36;26.68;61.50;95.32;132.32;38.30;76.69;85.93;337.55;30.63;79.64;400.45;675.52;6.28;10.00;151.23;49.78;813.78;69.69;178.19;125.05;141.10;210.35;191.81;308.04;146.04;289.48;12.00;333.72;24.68;148.59;115.38;295.93;6.47;856.95;306.95;12.52;154.52;176.90;304.00;14.81;297.07;18.76;120.42;290.84;14.17;271.43;59.27;233.23;56.41;190.90;157.98;160.82;119.66;190.09;130.17;171.22;157.19;271.74;14.59;313.26;32.22;102.20;198.71;125.58;198.53;104.50;146.55;199.50;421.36;27.71;148.14;287.97;14.93;294.93;6.20;197.14;321.69;96.04;19.75;181.53;122.70;4978.47;28.82;8.10;200.47;304.28;203.29;19.11;293.88;27.45;104.35;194.61;172.63;318.96;25.61;165.58;138.65;219.49;121.33;296.18;308.18;19.66;291.02;14.46;388.36,122323.72
e1cb4633-b4a2-48a6-bf49-135bed8c1856,6732.31,1672.81;2827.91;6066.51;16.49;3197.92;18.82;6388.99;1712.57;4299.83;5434.10;12374.10;3961.27;3261.57;6241.61;4333.90;3073.85;3351.08;3341.41;1549.55;12.93;26.94;61.52;95.24;132.13;38.17;77.06;85.85;337.62;30.62;79.62;400.46;675.41;6.49;9.18;151.82;49.82;814.46;68.79;178.40;125.20;140.93;210.47;192.29;307.52;145.73;290.13;11.35;338.10;20.59;148.26;115.61;295.94;6.49;857.01;307.72;11.78;154.21;304.52;177.73;13.73;304.84;10.95;120.45;291.57;13.41;271.44;59.13;233.25;56.44;190.98;157.94;160.89;120.23;189.41;130.42;170.98;157.32;272.30;12.85;316.29;30.78;101.94;198.43;125.64;200.31;102.71;326.99;19.05;424.45;24.62;148.32;288.37;14.36;294.96;6.16;197.21;322.11;96.45;18.91;181.69;122.49;4990.47;18.05;6.90;200.41;304.59;205.16;17.31;294.03;27.59;103.65;194.69;172.76;320.37;24.43;169.55;134.17;219.60;121.42;296.10;309.52;18.41;291.53;14.54;394.14;16.73;296.79;10.14,107375.95
765561ff-5acb-4d55-8821-db3728cd88ce,4715.70,3415.14;3209.40;7521.60;5602.34;3282.88;3533.18;2818.95;4327.81;1763.58;1568.66;1642.17;2554.82;5550.80;4302.25;5434.03;12375.69;3959.70;3261.43;6241.52;4333.97;3073.89;3351.21;3340.92;1549.73;13.32;26.65;61.53;95.33;133.67;37.77;75.84;85.97;337.50;30.65;79.64;400.46;675.48;6.34;10.08;151.14;49.78;814.49;69.90;177.29;125.04;141.10;210.33;191.86;308.04;146.88;172.09;129.21;181.54;176.15;146.00;117.98;183.10;119.28;856.96;115.53;203.88;141.04;190.03;304.04;15.19;296.70;19.15;120.46;185.69;119.31;271.43;59.22;233.24;58.13;189.19;157.97;162.53;117.75;191.77;128.69;173.01;155.45;155.67;130.61;202.86;142.64;101.77;200.25;124.53;199.94;103.08;146.11;201.27;116.20;331.50;147.89;184.64;118.51;294.98;6.17;197.16;100.65;316.92;19.88;181.28;122.99;4978.01;29.19;8.13;202.39;186.96;318.44;19.25;103.80;217.43;106.09;193.15;172.41;186.46;158.17;165.47;138.93;219.47;121.25;296.15;308.00;19.92;290.81;14.53;141.13;270.04;73.32;234.27;4351.26,130278.41
a5ade685-8e2d-45f2-baca-e7bcaa96c363,10731.64,5607.02;3278.40;3531.95;2820.82;4326.42;1752.16;13.49;3195.68;19.09;6388.82;5977.19;3862.92;1609.14;12372.96;3959.78;3261.56;6241.57;4333.87;3073.88;3351.12;3340.99;1549.75;15.12;24.93;61.48;95.30;133.55;37.80;75.96;85.91;337.58;30.63;79.65;400.47;675.45;6.48;11.69;149.32;49.79;814.40;69.90;177.37;125.00;141.14;210.45;192.08;307.68;146.82;288.81;12.46;336.86;20.99;149.06;114.83;295.98;6.46;856.97;307.42;12.11;155.01;303.64;177.07;14.45;297.66;18.16;120.43;291.10;13.90;271.43;291.13;0.04;57.70;190.94;157.94;262.44;18.29;302.90;17.22;300.90;27.43;271.95;14.48;313.63;31.83;295.45;5.39;125.59;288.83;14.19;329.42;16.64;423.74;25.29;332.79;103.60;14.66;294.96;6.16;197.18;321.83;96.34;19.32;285.62;18.57;4990.53;24.89;4.76;198.76;301.33;204.25;18.17;293.90;27.50;294.20;4.56;172.68;319.81;24.94;296.69;7.27;219.57;121.34;410.56;194.21;19.30;291.37;14.52;398.07;12.94;301.81;5.23;4351.32;39.37;6.06;4870.62;1644.44,132036.74
